Name,Address,Website,Type,Awards offered,Campus setting,Campus housing,Student population,Undergraduate students,Graduation Rate,Transfer-Out Rate,Cohort Year *,Net Price **,Largest Program,IPEDS ID,OPE ID
Pennsylvania State University-Penn State Berks,"Tulpehocken Road, Reading, Pennsylvania 19610-1016",https://berks.psu.edu/,"4-year, Public",Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree,Suburb: Large,Yes,1944,1940,24%,36%,Fall 2017,"$22,450 ",-,214704,332906
Pennsylvania State University-Penn State Brandywine,"25 Yearsley Mill Road, Media, Pennsylvania 19063-5522",https://www.brandywine.psu.edu/,"4-year, Public",Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree,Suburb: Large,Yes,1223,1223,21%,29%,Fall 2017,"$21,739 ",-,214731,332921
Pennsylvania State University-Penn State DuBois,"1 College Place, DuBois, Pennsylvania 15801-2549",https://dubois.psu.edu/,"4-year, primarily associate's, Public",Less than one year certificate|Associate's degree|Bachelor's degree|Master's degree,Town: Remote,No,353,353,29%,34%,Fall 2017,"$18,960 ",-,214740,332907
Pennsylvania State University-Penn State Erie-Behrend College,"4701 College Drive, Erie, Pennsylvania 16563-0001",https://behrend.psu.edu/,"4-year, Public",Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree,Suburb: Midsize,Yes,3323,3226,46%,24%,Fall 2017,"$20,964 ",-,214591,332905
Pennsylvania State University-Penn State Fayette- Eberly,"2201 University Drive, Lemont Furnace, Pennsylvania 15456-1025",https://fayette.psu.edu/,"4-year, Public",Less than one year certificate|Associate's degree|Bachelor's degree|Master's degree,Rural: Fringe,No,419,419,34%,18%,Fall 2017,"$18,780 ",-,214759,332908
Pennsylvania State University-Penn State Great Valley,"30 East Swedesford Road, Malvern, Pennsylvania 19355-1488",https://greatvalley.psu.edu/,"4-year, Public",Postbaccalaureate certificate|Master's degree,Suburb: Large,No,258,,NA,NA,Fall 2017,NA,-,214607,332919
Pennsylvania State University-Penn State Greater Allegheny,"4000 University Drive, McKeesport, Pennsylvania 15132-7644",https://greaterallegheny.psu.edu/,"4-year, Public",Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree,Suburb: Large,Yes,361,361,27%,32%,Fall 2017,"$14,933 ",-,214786,332910
Pennsylvania State University-Penn State Harrisburg,"777 West Harrisburg Pike, Middletown, Pennsylvania 17057-4846",https://harrisburg.psu.edu/,"4-year, Public",Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship,Suburb: Large,Yes,4651,4164,29%,39%,Fall 2017,"$22,406 ",-,214713,332920
Pennsylvania State University-Penn State Hazleton,"76 University Drive, Hazleton, Pennsylvania 18202-8025",https://hazleton.psu.edu/,"4-year, Public",Less than one year certificate|Associate's degree|Bachelor's degree|Master's degree,Suburb: Small,Yes,510,510,18%,36%,Fall 2017,"$19,920 ",-,214768,332909
Pennsylvania State University-Penn State Lehigh Valley,"2809 Saucon Valley Road, Center Valley, Pennsylvania 18034-8447",https://lehighvalley.psu.edu/,"4-year, Public",Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree,Suburb: Large,No,954,954,17%,48%,Fall 2017,"$19,070 ",-,214670,332902
Pennsylvania State University-Penn State Mont Alto,"1 Campus Drive, Mont Alto, Pennsylvania 17237-9700",https://montalto.psu.edu/,"4-year, Public",Less than one year certificate|Associate's degree|Bachelor's degree|Master's degree,Rural: Fringe,Yes,588,587,25%,35%,Fall 2017,"$20,294 ",-,214795,332911
Pennsylvania State University-Penn State New Kensington,"3550 Seventh Street Road, New Kensington, Pennsylvania 15068-1765",https://newkensington.psu.edu/,"4-year, Public",Less than one year certificate|Associate's degree|Bachelor's degree|Master's degree,Rural: Fringe,No,456,456,24%,37%,Fall 2017,"$19,294 ",-,214625,332912
Pennsylvania State University-Penn State Schuylkill,"200 University Drive, Schuylkill Haven, Pennsylvania 17972-2202",https://schuylkill.psu.edu/,"4-year, Public",Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree,Town: Fringe,Yes,650,650,21%,27%,Fall 2017,"$20,317 ",-,214810,332914
Pennsylvania State University-Penn State Scranton,"120 Ridge View Drive, Dunmore, Pennsylvania 18512-1602",https://scranton.psu.edu/,"4-year, Public",Less than one year certificate|Associate's degree|Bachelor's degree|Master's degree,Suburb: Large,No,838,837,32%,26%,Fall 2017,"$18,239 ",-,214652,332915
Pennsylvania State University-Penn State Shenango,"147 Shenango Avenue, Sharon, Pennsylvania 16146-1537",https://shenango.psu.edu/,"4-year, primarily associate's, Public",Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree,Town: Fringe,No,332,332,23%,13%,Fall 2017,"$14,895 ",-,214634,332916
